player_id,salary,season,season_end,season_start,team
oubreke01,1920240,2015-16,2016,2015,Washington Wizards
oubreke01,2006640,2016-17,2017,2016,Washington Wizards
oubreke01,2093040,2017-18,2018,2017,Washington Wizards
outlatr01,3000000,2013-14,2014,2013,Sacramento Kings
outlatr01,4000000,2014-15,2015,2014,Brooklyn Nets
outlatr01,3000000,2014-15,2015,2014,Philadelphia 76ers
pachuza01,5200000,2013-14,2014,2013,Milwaukee Bucks
pachuza01,5200000,2014-15,2015,2014,Milwaukee Bucks
pachuza01,5200000,2015-16,2016,2015,Dallas Mavericks
pachuza01,2898000,2016-17,2017,2016,Golden State Warriors
pachuza01,3477600,2017-18,2018,2017,Golden State Warriors
papagge01,2202240,2016-17,2017,2016,Sacramento Kings
papagge01,2301360,2017-18,2018,2017,Sacramento Kings
papagge01,259556,2017-18,2018,2017,Portland Trail Blazers
papanko01,4800000,2014-15,2015,2014,Houston Rockets
papanko01,350000,2015-16,2016,2015,Denver Nuggets
pargoja01,1399507,2013-14,2014,2013,Charlotte Bobcats
pargoja01,1448490,2014-15,2015,2014,Charlotte Hornets
parkeja01,4930560,2014-15,2015,2014,Milwaukee Bucks
parkeja01,5152440,2015-16,2016,2015,Milwaukee Bucks
parkeja01,5374320,2016-17,2017,2016,Milwaukee Bucks
parkeja01,6782392,2017-18,2018,2017,Milwaukee Bucks
parketo01,12500000,2013-14,2014,2013,San Antonio Spurs
parketo01,12500000,2014-15,2015,2014,San Antonio Spurs
parketo01,13437500,2015-16,2016,2015,San Antonio Spurs
parketo01,14445313,2016-17,2017,2016,San Antonio Spurs
parketo01,15453126,2017-18,2018,2017,San Antonio Spurs
parsoch01,926500,2013-14,2014,2013,Houston Rockets
parsoch01,14700000,2014-15,2015,2014,Dallas Mavericks
parsoch01,15361500,2015-16,2016,2015,Dallas Mavericks
parsoch01,22116750,2016-17,2017,2016,Memphis Grizzlies
parsoch01,23112004,2017-18,2018,2017,Memphis Grizzlies
pattela01,525093,2015-16,2016,2015,Atlanta Hawks
pattela01,128623,2016-17,2017,2016,Atlanta Hawks
pattela01,100000,2016-17,2017,2016,Sacramento Kings
pattepa01,3105302,2013-14,2014,2013,Sacramento Kings
pattepa01,5831326,2014-15,2015,2014,Toronto Raptors
pattepa01,6268675,2015-16,2016,2015,Toronto Raptors
pattepa01,6050000,2016-17,2017,2016,Toronto Raptors
pattepa01,5192000,2017-18,2018,2017,Oklahoma City Thunder
pattoju01,2247480,2017-18,2018,2017,Minnesota Timberwolves
paulbr01,155000,2016-17,2017,2016,Philadelphia 76ers
paulbr01,815615,2017-18,2018,2017,San Antonio Spurs
paulch01,18668431,2013-14,2014,2013,Los Angeles Clippers
paulch01,20068563,2014-15,2015,2014,Los Angeles Clippers
paulch01,21468696,2015-16,2016,2015,Los Angeles Clippers
paulch01,22868827,2016-17,2017,2016,Los Angeles Clippers
paulch01,24599495,2017-18,2018,2017,Houston Rockets
payneca01,2021520,2015-16,2016,2015,Oklahoma City Thunder
payneca01,2112480,2016-17,2017,2016,Chicago Bulls
payneca01,2203440,2017-18,2018,2017,Chicago Bulls
paytoel01,2397840,2014-15,2015,2014,Orlando Magic
paytoel01,2505720,2015-16,2016,2015,Orlando Magic
paytoel01,2613600,2016-17,2017,2016,Orlando Magic
paytoel01,3332340,2017-18,2018,2017,Phoenix Suns
pekovni01,12100000,2013-14,2014,2013,Minnesota Timberwolves
pekovni01,12100000,2014-15,2015,2014,Minnesota Timberwolves
pekovni01,12100000,2015-16,2016,2015,Minnesota Timberwolves
pekovni01,12100000,2016-17,2017,2016,Minnesota Timberwolves
perkike01,8477437,2013-14,2014,2013,Oklahoma City Thunder
perkike01,9654342,2014-15,2015,2014,Utah Jazz
perkike01,434547,2014-15,2015,2014,Cleveland Cavaliers
perkike01,1499200,2015-16,2016,2015,New Orleans Pelicans
perkike01,13156,2017-18,2018,2017,Cleveland Cavaliers
piercpa01,15333334,2013-14,2014,2013,Brooklyn Nets
piercpa01,5305000,2014-15,2015,2014,Washington Wizards
piercpa01,3400000,2015-16,2016,2015,Los Angeles Clippers
piercpa01,3500000,2016-17,2017,2016,Los Angeles Clippers
piercpa01,1096080,2017-18,2018,2017,Los Angeles Clippers
pleisti01,3000000,2015-16,2016,2015,Utah Jazz
pleisti01,3000000,2016-17,2017,2016,Philadelphia 76ers
pleisti01,500000,2017-18,2018,2017,Philadelphia 76ers
plumlma01,1298640,2013-14,2014,2013,Brooklyn Nets
plumlma01,1357080,2014-15,2015,2014,Brooklyn Nets
plumlma01,1415520,2015-16,2016,2015,Portland Trail Blazers
plumlma01,2328530,2016-17,2017,2016,Denver Nuggets
plumlma01,14041096,2017-18,2018,2017,Denver Nuggets
plumlmi01,1121520,2013-14,2014,2013,Phoenix Suns
plumlmi01,1169880,2014-15,2015,2014,Milwaukee Bucks
plumlmi01,2109294,2015-16,2016,2015,Milwaukee Bucks
plumlmi01,12500000,2016-17,2017,2016,Milwaukee Bucks
